task   id   group   session   trial   condition   trialxcondition   perceived_liking   perceived_familiarity   perceived_intensity
hedonicreactivity   100   control   second   1    Empty   1   2.939560e+01   3.653846e+01   5.659341e+01
hedonicreactivity   100   control   second   2    MilkShake   1   8.543956e+01   6.868132e+01   8.351648e+01
hedonicreactivity   100   control   second   3    Empty   2   4.368132e+01   5.851648e+01   50
hedonicreactivity   100   control   second   4    MilkShake   2   9.175824e+01   7.527473e+01   8.928571e+01
hedonicreactivity   100   control   second   5    Empty   3   4.368132e+01   4.670330e+01   5.934066e+01
hedonicreactivity   100   control   second   6    MilkShake   3   8.104396e+01   7.197802e+01   7.307692e+01
hedonicreactivity   100   control   second   7    MilkShake   4   7.527473e+01   7.472527e+01   7.939560e+01
hedonicreactivity   100   control   second   8    Empty   4   4.258242e+01   4.725275e+01   4.642857e+01
hedonicreactivity   100   control   second   9    MilkShake   5   8.956044e+01   8.241758e+01   8.379121e+01
hedonicreactivity   100   control   second   10    Empty   5   2.939560e+01   4.285714e+01   3.351648e+01
hedonicreactivity   100   control   second   11    MilkShake   6   6.620879e+01   6.126374e+01   6.730769e+01
hedonicreactivity   100   control   second   12    Empty   6   3.708791e+01   5.384615e+01   3.901099e+01
hedonicreactivity   100   control   second   13    Empty   7   3.131868e+01   4.175824e+01   3.653846e+01
hedonicreactivity   100   control   second   14    MilkShake   7   8.681319e+01   6.428571e+01   8.214286e+01
hedonicreactivity   100   control   second   15    MilkShake   8   7.170330e+01   7.087912e+01   6.813187e+01
hedonicreactivity   100   control   second   16    Empty   8   4.065934e+01   4.175824e+01   3.571429e+01
hedonicreactivity   100   control   second   17    Empty   9   2.527473e+01   3.296703e+01   3.543956e+01
hedonicreactivity   100   control   second   18    MilkShake   9   6.895604e+01   6.071429e+01   5.934066e+01
hedonicreactivity   100   control   second   19    MilkShake   10   6.703297e+01   5.989011e+01   6.620879e+01
hedonicreactivity   100   control   second   20    Empty   10   3.186813e+01   4.038462e+01   3.324176e+01
hedonicreactivity   100   control   second   21    Empty   11   3.241758e+01   4.065934e+01   3.461538e+01
hedonicreactivity   100   control   second   22    MilkShake   11   7.307692e+01   5.659341e+01   6.318681e+01
hedonicreactivity   100   control   second   23    MilkShake   12   7.692308e+01   6.236264e+01   6.456044e+01
hedonicreactivity   100   control   second   24    Empty   12   2.527473e+01   2.857143e+01   3.131868e+01
hedonicreactivity   100   control   second   25    Empty   13   2.719780e+01   3.104396e+01   3.763736e+01
hedonicreactivity   100   control   second   26    MilkShake   13   8.131868e+01   6.840659e+01   8.186813e+01
hedonicreactivity   100   control   second   27    MilkShake   14   7.637363e+01   6.648352e+01   6.868132e+01
hedonicreactivity   100   control   second   28    Empty   14   3.214286e+01   4.093407e+01   3.598901e+01
hedonicreactivity   100   control   second   29    Empty   15   2.912088e+01   3.598901e+01   4.120879e+01
hedonicreactivity   100   control   second   30    MilkShake   15   6.428571e+01   5.631868e+01   5.769231e+01
hedonicreactivity   100   control   second   31    Empty   16   3.736264e+01   4.203297e+01   4.368132e+01
hedonicreactivity   100   control   second   32    MilkShake   16   8.131868e+01   6.401099e+01   7.307692e+01
hedonicreactivity   100   control   second   33    MilkShake   17   6.483516e+01   5.796703e+01   5.906593e+01
hedonicreactivity   100   control   second   34    Empty   17   3.736264e+01   4.285714e+01   4.340659e+01
hedonicreactivity   100   control   second   35    MilkShake   18   6.648352e+01   5.851648e+01   6.208791e+01
hedonicreactivity   100   control   second   36    Empty   18   3.681319e+01   4.478022e+01   3.681319e+01
hedonicreactivity   100   control   second   37    Empty   19   3.186813e+01   4.175824e+01   3.049451e+01
